year,nuclear,gas,hydro,coal,imports,oil,misc
1990,23623.0,,,25913.0,4519.0,33885.0,2066.0
1991,28448.0,,,26660.0,9411.0,28221.0,2033.0
1992,24155.0,,,27280.0,16450.0,18319.0,2320.0
1993,26889.0,,31486.0,24502.0,19509.0,15073.0,2374.0
1994,29231.0,,29940.0,23291.0,18453.0,12030.0,2602.0
1995,26336.0,,28070.0,22289.0,11777.0,8268.0,2632.0
1996,35226.0,,31128.0,22672.0,9472.0,9717.0,2863.0
1997,29570.0,,32676.0,24059.0,4913.0,8588.0,2809.0
1998,31314.0,,31527.0,25265.0,3145.0,14901.0,2754.0
1999,37019.0,,26810.0,23366.0,6904.0,13304.0,2950.0
2000,31508.0,,26753.0,25010.0,15723.0,14945.0,2968.0
2001,40395.0,38981.0,23152.0,23432.0,10628.0,16512.0,4545.0
2002,39617.0,38649.0,26213.0,23239.0,17088.0,11534.0,4448.0
2003,40679.0,28361.0,25798.0,23581.0,18163.0,19292.0,4440.0
2004,40640.0,27503.0,28153.0,22853.0,17646.0,21205.0,4513.0
2005,42443.0,32202.0,27583.0,20598.0,18115.0,24013.0,4736.0
2006,42224.0,42460.0,28422.0,20968.0,18569.0,6778.0,5305.0
2007,42453.0,46031.0,25557.0,21406.0,20708.0,8195.0,5546.0
2008,43209.0,44389.0,27501.0,19154.0,23899.0,3745.0,6710.0
2009,43485.0,42428.0,27945.0,12759.0,25009.0,2648.0,7394.0
2010,41870.0,49624.0,25103.0,13583.0,26517.0,2005.0,7720.0
2011,42695.0,51540.0,28355.0,9426.0,25201.0,1189.0,7746.0
2012,40775.0,60198.0,25303.0,4551.0,26180.0,580.0,8198.0
2013,44756.0,55182.0,26397.0,4697.0,25694.0,1007.0,8785.0
2014,43041.0,55169.0,26823.0,4325.0,22103.0,2136.0,9656.0
2015,44620.0,57668.0,26704.0,2046.0,22273.0,1892.0,9397.0
2016,41638.0,57541.0,27150.0,1493.0,26117.0,643.0,9098.0
